ANIO,MES,Temp_MAX,Temp_MAX_ANOM,Temp_MIN,Temp_Average,precip,VPD,f_count,b_surface,n_hotspots_modis,dead_ratio,fdi_100ha,NBR_monthly,dNBR,KNDVI,NDVI,RH,solar_rad,wind_speed,TEMP_AIR_MAX,NINO3_4,LST_trend,spei12
2001,1,21.29032258,0.60841058,-0.13,13.26612903,4.5,1.632877497,NA,0,0,0.831,0,NA,NA,0.04,0.184722259,57.60442846,583.918924,4.32233953,19.9481449,25.81,24.131,NA
2001,2,21.57142857,0.182297858,-1.53,14.14285714,3,1.633083624,NA,0,1,0.815,0.046168052,-0.018742242,NA,0.033127084,0.178364196,55.45206274,555.144998,3.96088672,21.2017155,26.12,31.837,NA
2001,3,24.72580645,0.564865779,-0.47,16.63709677,6.51,2.366429403,NA,0,0,0.818,0,-0.060201842,NA,0.03,0.173619804,41.10186273,775.16623,5.35924673,23.1684208,26.8,43.71,NA
2001,4,23.03225806,-0.637728385,-3.71,NA,19.5,1.905990583,1,1,0,0.825,0,-0.052536394,0.106,0.03,0.167746433,42.16544617,742.447222,4.24026394,26.0355167,27.33,44.638,NA
2001,5,26.77419355,-0.273435098,-0.57,18.84677419,124.91,2.394541955,NA,0,0,0.757,0,-0.015695277,NA,0.06,0.231389882,54.41586004,724.378942,3.86581802,24.3375492,27.6,43.076,NA
2001,6,26.16666667,1.679750396,1.04,19.65,72.01,1.978354092,NA,0,0,0.622,0,0.294432613,NA,0.232717949,0.473980785,75.69729605,631.564992,3.74647331,22.4187565,27.54,28.556,NA
2001,7,26.48387097,0.652452219,1.95,19.24193548,174.6,2.000887792,NA,0,0,0.413,0,0.47674802,NA,0.385163136,0.63,80.14338386,665.560512,3.92269349,21.6969547,27.25,26.519,NA
2001,8,27.5,1.248711071,3.33847228,19.90322581,99.53,2.205682342,NA,0,0,0.416,0,NA,NA,NA,NA,77.66045396,662.62405,4.10489941,21.2459965,26.8,NA,NA
2001,9,26.43333333,0.850762568,2.23,19.2,103.2,1.996949012,NA,0,0,0.73,0,NA,NA,NA,NA,81.43729117,553.2254458,4.30852032,20.3163395,26.52,NA,NA
2001,10,25.46774194,0.75382057,1.543708433,17.74193548,30.14,2.06528167,NA,0,0,0.585,0,0.317593835,NA,0.214348581,0.46,72.7134341,602.6286024,4.90098906,19.3409367,26.57,27.053,NA
2001,11,25.31666667,1.077011494,1.789293319,16.525,0.71,2.267241642,NA,0,0,0.661,0,0.170549369,NA,0.123692558,0.341577432,62.46356382,564.009588,4.27074289,18.7203617,26.33,29.162,NA
2001,12,26.88709677,1.4643083,3.75708623,16.88709677,10.03,2.573948621,NA,0,0,0.73,0,NA,NA,NA,NA,60.28054894,533.076072,4.03610563,19.1946659,26.19,NA,0.006253168
2002,1,17.33870968,0.995507354,-4.08,11.48387097,7.7,1.186156198,NA,0,0,0.739,0,-0.021390134,NA,0.05,0.216211265,50.04156728,617.297648,4.3763814,19.9715824,26.39,29.543,0.057182704
2002,2,19.89285714,0.450155001,-3.21,13.4375,1.5,1.414299155,NA,0,0,0.73,0,NA,NA,NA,NA,52.54794382,553.297684,4.43790674,20.1883488,26.71,NA,0.047811365
2002,3,28.4516129,1.64551094,3.257227607,19.04032258,0.01,2.975058601,1,1,0,0.84,0,-0.049382618,NA,0.03,0.16492148,44.77498524,750.8946417,4.70638943,24.6994877,27.29,40.742,-0.069532367
2002,4,28.83333333,0.231088816,2.092489294,19.63333333,55.42,2.861045933,NA,0,0,0.73,0,NA,NA,NA,NA,52.30019574,773.232926,3.96304464,26.3287296,27.84,NA,-0.002344721
2002,5,29.59677419,0.903984252,2.256019582,20.84677419,3.52,3.070777043,NA,0,0,0.781,0,-0.018910802,NA,0.04,0.185710619,46.48273631,779.260642,4.08148289,26.4081669,28.24,47.394,-0.686806694
2002,6,27.1,1.096417066,1.975914478,19.825,29.84,2.245975613,NA,0,0,0.73,0,NA,NA,NA,NA,66.6985299,665.173246,4.04134989,23.3475895,28.44,NA,-1.000938309
2002,7,24.9516129,1.442774799,0.42,18.87096774,66.93,1.659302733,NA,0,0,0.635,0,0.327468934,NA,0.196634958,0.43971451,80.31733476,658.38932,3.94603992,21.7613163,28.03,11.092,-1.436311357
2002,8,25.06451613,1.264840111,0.90298841,18.69354839,91.51,1.737756618,NA,0,0,0.73,0,NA,NA,NA,NA,76.74007048,677.076294,4.14431477,22.2421513,27.72,NA,-1.586520586
2002,9,23.58333333,1.450762568,-0.62,18.075,110.81,1.394431485,NA,0,0,0.568,0,NA,NA,NA,NA,83.04793375,525.4099955,3.99620366,20.4586735,27.81,NA,-1.409749074
2002,10,24.40322581,2.17317541,0.479192303,17.91935484,3.5,1.658024503,NA,0,0,0.676,0,0.347131797,NA,0.137670568,0.36,77.006248,583.6976685,3.58599377,20.1408634,27.96,20.551,-1.459009727
